O*NET-SOC Code	Alternate Title	Short Title	Source(s)
17-3023.00	Utilities Instrument Technician	n/a	08
17-3023.00	Weapons System Instrument Mechanic	n/a	08
17-3024.00	Automation Technician (Automation Tech)	Automation Tech	02,08
17-3024.00	Automation Test Specialist	n/a	08
17-3024.00	Calibration Technician	n/a	08
17-3024.00	Certified Control Systems Technician	n/a	08
17-3024.00	Commercial Drone Operator	n/a	01
17-3024.00	Commercial Drone Pilot	n/a	08
17-3024.00	Commercial Drone Technician	n/a	01
17-3024.00	Drone Operator	n/a	01
17-3024.00	Drone Pilot	n/a	08
17-3024.00	Drone Technician	n/a	01
17-3024.00	Electrical and Instrumentation Technician (E and I Tech)	E and I Tech	10
17-3024.00	Electro-Mechanic	n/a	02
17-3024.00	Electromechanical Assembler (EM Assembler)	EM Assembler	02,08
17-3024.00	Electromechanical Assembly Technician (EM Assembly Technician)	EM Assembly Technician	08
17-3024.00	Electromechanical Engineering Technologist (EM Engineering Technologist)	EM Engineering Technologist	08
17-3024.00	Electromechanical Equipment Tester (EM Equipment Tester)	EM Equipment Tester	08
17-3024.00	Electromechanical Specialist (EM Specialist)	EM Specialist	08
17-3024.00	Electromechanical Technician (EM Technician)	EM Technician	02,08
17-3024.00	Electromechanical Technologist (EM Technologist)	EM Technologist	04,08
17-3024.00	Electronic Industrial Control Mechanic	n/a	08
17-3024.00	Electronics Technician (Electronics Tech)	Electronics Tech	02,08
17-3024.00	Field Service Technician	n/a	08
17-3024.00	Hardware Rework Specialist	n/a	08
17-3024.00	IE PM Inspector (Instrumentation and Electrical Preventive Maintenance Inspector)	IE PM Inspector	08
17-3024.00	Instrument and Controls Technician (Instrument and Controls Tech)	Instrument and Controls Tech	10
17-3024.00	Instrumentation Technician	n/a	08
17-3024.00	Mechanical Designer	n/a	08
17-3024.00	Mechanical Technician (Mechanical Tech)	Mechanical Tech	02
17-3024.00	Mechatronics Technician	n/a	04
17-3024.00	Mechatronics Technologist	n/a	04
17-3024.00	Metrology Calibration Technician (Metrology Calibration Tech)	Metrology Calibration Tech	10
17-3024.00	Photovoltaic Fabrication and Testing Technician (PV Fabrication and Testing Technician)	PV Fabrication and Testing Technician	08
17-3024.00	Process Control Tech	n/a	02
17-3024.00	Product Test Specialist	n/a	02
17-3024.00	Remote Pilot	n/a	01
17-3024.00	Remotely Piloted Aircraft Controller (RPA Controller)	RPA Controller	01
17-3024.00	Remotely Piloted Aircraft Operator (RPA Operator)	RPA Operator	01
17-3024.00	Remotely Piloted Aircraft Pilot (RPA Pilot)	RPA Pilot	01
17-3024.00	Remotely Piloted Aircraft Technician (RPA Technician)	RPA Technician	01
17-3024.00	Remotely Piloted Vehicle Controller (RPV Controller)	RPV Controller	08
17-3024.00	Remotely Piloted Vehicle Engineering Technician (RPV Engineering Technician)	RPV Engineering Technician	04,08
17-3024.00	Research and Design Lab Technician (R and D Lab Tech)	R and D Lab Tech	08
17-3024.00	Rework Specialist	n/a	08
17-3024.00	Rework Technician	n/a	08
17-3024.00	Robotics Testing Technician	n/a	04,08
17-3024.00	Supply Chain Technician	n/a	08
17-3024.00	Test Engineering Technician (Test Engineering Tech)	Test Engineering Tech	02
17-3024.00	Test Technician (Test Tech)	Test Tech	02,08
17-3024.00	Tester	n/a	08
17-3024.00	Underwater Roboticist	n/a	08
17-3024.00	Unmanned Aerial Systems Operator (UAS Operator)	UAS Operator	01,08
17-3024.00	Unmanned Aerial Systems Pilot (UAS Pilot)	UAS Pilot	01
17-3024.00	Unmanned Aerial Systems Technician (UAS Technician)	UAS Technician	01
17-3024.00	Unmanned Aerial Vehicles Operator (UAV Operator)	UAV Operator	01,04
17-3024.00	Unmanned Aerial Vehicles Pilot (UAV Pilot)	UAV Pilot	01
17-3024.00	Unmanned Aerial Vehicles Technician (UAV Technician)	UAV Technician	01
17-3024.00	Unmanned Air Systems Operator	n/a	04
17-3024.00	Unmanned Aircraft Operator (UA Operator)	UA Operator	01
17-3024.00	Unmanned Aircraft Pilot (UA Pilot)	UA Pilot	01
17-3024.00	Unmanned Aircraft Systems Pilot (UAS Pilot)	UAS Pilot	01
17-3024.00	Unmanned Aircraft Systems Roboticist (UAS Roboticist)	UAS Roboticist	08
17-3024.00	Unmanned Aircraft Systems Technician (UAS Technician)	UAS Technician	01
17-3024.00	Unmanned Aircraft Technician (UA Technician)	UA Technician	01
17-3024.00	Unmanned Equipment Operator	n/a	08
17-3024.01	Assembly Technician	n/a	10
17-3024.01	Automation Control Integrator	n/a	10
17-3024.01	Automation Control Technician	n/a	08
17-3024.01	Automation Controls Expert	n/a	10
17-3024.01	Automation Controls Specialist	n/a	10
17-3024.01	Automation Engineering Technician	n/a	08
17-3024.01	Automation Technician	n/a	02,08,10
17-3024.01	Automation Technologist	n/a	08
17-3024.01	Electrical and Instrumentation Specialist	n/a	10
17-3024.01	Electrical and Instrumentation Technician (E and I Technician)	E and I Technician	02
17-3024.01	Field Technician (Field Tech)	Field Tech	10
17-3024.01	Instrument and Automation Technician	n/a	02
17-3024.01	Instrument Specialist	n/a	02
17-3024.01	Instrument Technician	n/a	02
17-3024.01	Instrumentation and Controls Technician	n/a	02
17-3024.01	Instrumentation and Process Controls Technician	n/a	02
17-3024.01	Process Control Technician	n/a	02
17-3024.01	Programmable Logic Controllers Technician	n/a	02
17-3024.01	Robot Programmer	n/a	10
17-3024.01	Robot Technician	n/a	08,10
17-3024.01	Robotic Technician	n/a	10
17-3024.01	Robotic Weld Technician	n/a	10
17-3024.01	Robotics Mechanic	n/a	08
17-3024.01	Robotics Technician (Robotics Tech)	Robotics Tech	08,10
17-3024.01	Robotics Technologist	n/a	08
17-3024.01	Sensor Technician	n/a	10
17-3024.01	Test Technician (Test Tech)	Test Tech	10
17-3025.00	Air Analysis Engineering Technician	n/a	04
17-3025.00	Air Analysis Technician	n/a	04,06
17-3025.00	Air Analyst	n/a	08
17-3025.00	Air Moving Technician	n/a	10
17-3025.00	Air Pollution Specialist	n/a	08
17-3025.00	Air Quality Instrument Specialist	n/a	02
17-3025.00	Air Technician	n/a	10
17-3025.00	Engineer Technician	n/a	02
17-3025.00	Engineering Technician	n/a	02
17-3025.00	Environmental Engineering Aide	n/a	04,06
17-3025.00	Environmental Engineering Assistant	n/a	02
17-3025.00	Environmental Engineering Technician	n/a	02
17-3025.00	Environmental Engineering Technologist	n/a	04
17-3025.00	Environmental Field Laborer	n/a	10
17-3025.00	Environmental Field Professional	n/a	10
17-3025.00	Environmental Field Team Member	n/a	10
17-3025.00	Environmental Field Technician	n/a	02
17-3025.00	Environmental Remediation Engineering Technician	n/a	04
17-3025.00	Environmental Technician	n/a	02,04,06
17-3025.00	Field Technician	n/a	02,10
17-3025.00	Haz Tech (Hazardous Technician)	Haz Tech	02
17-3025.00	Pollution Control Engineering Technician	n/a	04
17-3025.00	Pollution Control Technician	n/a	08
17-3025.00	Programs Technician	n/a	10
17-3025.00	Quality Technician	n/a	10
17-3025.00	Soil Field Technician	n/a	10
17-3025.00	Soil Technician	n/a	04,06
17-3025.00	Water Pollution Control Technician	n/a	08
17-3026.00	3D Printing Tech (Three Dimensional Printing Technician)	3D Printing Tech	08
17-3026.00	Additive Manufacturing Production Technician	n/a	08
17-3026.00	Additive Manufacturing Technician	n/a	08
17-3026.00	Analysis Tester	n/a	08
17-3026.00	Boiler Water Tester	n/a	08
17-3026.00	Business Process Analyst	n/a	02
17-3026.00	CAD Specialist (Computer Aided Design Specialist)	CAD Specialist	08
17-3026.00	Cellophane Tester	n/a	08
17-3026.00	Cloth Tester	n/a	08
17-3026.00	Diagnostics Engineering Specialist	n/a	08
17-3026.00	Efficiency Analyst	n/a	08
17-3026.00	Efficiency Expert	n/a	08
17-3026.00	Engineering Specialist	n/a	08
17-3026.00	Engineering Technician	n/a	02
17-3026.00	Engineering Technologist	n/a	08
17-3026.00	Field Service Engineer	n/a	08
17-3026.00	Field Service Technician	n/a	08
17-3026.00	Final Operations Technician	n/a	08
17-3026.00	Industrial Engineering Analyst	n/a	02
17-3026.00	Industrial Engineering Technician	n/a	02,04,08
17-3026.00	Industrial Engineering Technologist	n/a	04,08
17-3026.00	Industrial Maintenance Technician (Industrial Maintenance Tech)	Industrial Maintenance Tech	10
17-3026.00	Industrial Manufacturing Technician	n/a	08
17-3026.00	Industrial Methods Consultant	n/a	08
17-3026.00	Industrial Technician	n/a	08
17-3026.00	Industrial Technologist	n/a	08
17-3026.00	Lean Six Sigma Black Belt	n/a	08
17-3026.00	Lean Six Sigma Specialist	n/a	08
17-3026.00	Liaison Engineer	n/a	08
17-3026.00	Line Technician	n/a	08
17-3026.00	Machine Operator	n/a	08
17-3026.00	Manufacturing Associate	n/a	08
17-3026.00	Manufacturing Consultant	n/a	08
17-3026.00	Manufacturing Coordinator	n/a	02
17-3026.00	Manufacturing Engineering Technician	n/a	08
17-3026.00	Manufacturing Engineering Technologist	n/a	08
17-3026.00	Manufacturing Planner	n/a	08
17-3026.00	Manufacturing Process Technician	n/a	08
17-3026.00	Manufacturing Production Technician	n/a	08
17-3026.00	Manufacturing Specialist	n/a	08
17-3026.00	Manufacturing Technician	n/a	08
17-3026.00	Manufacturing Technologist	n/a	08
17-3026.00	Manufacturing Technology Analyst	n/a	02
17-3026.00	Material Scheduler	n/a	08
17-3026.00	Materials Planner	n/a	08
17-3026.00	Metallurgical Lab Technician	n/a	08
17-3026.00	Methods Engineer	n/a	08
17-3026.00	Methods Specialist Engineer	n/a	08
17-3026.00	Methods Study Analyst	n/a	08
17-3026.00	Methods Time Analyst	n/a	08
17-3026.00	Motion Study Analyst	n/a	08
17-3026.00	Motion Study Engineer	n/a	08
17-3026.00	Motion Study Technician	n/a	04,08
17-3026.00	Operations Specialist	n/a	08
17-3026.00	Operations Technician	n/a	08
17-3026.00	Paper Tester	n/a	08
17-3026.00	Personnel Quality Assurance Auditor	n/a	08
17-3026.00	Planner	n/a	08
17-3026.00	Plant Facilities Technician	n/a	08
17-3026.00	Process Documentation and Methods Analyst	n/a	08
17-3026.00	Process Operator	n/a	08
17-3026.00	Process Safety Engineering Technologist	n/a	08
17-3026.00	Process Technician	n/a	08
17-3026.00	Product Integrity Engineer	n/a	08
17-3026.00	Production Analyst	n/a	08
17-3026.00	Production Control Analyst	n/a	08
17-3026.00	Production Control Expert	n/a	08
17-3026.00	Production Control Planner	n/a	08
17-3026.00	Production Control Technologist	n/a	04,08
17-3026.00	Production Expert	n/a	08
17-3026.00	Production Part Approval Process Coordinator (PPAP Coordinator)	PPAP Coordinator	08
17-3026.00	Production Planner	n/a	08
17-3026.00	Production Staff Worker	n/a	08
17-3026.00	Production Technician	n/a	08
17-3026.00	Productivity Engineer	n/a	08
17-3026.00	Quality Assurance Analyst (QA Analyst)	QA Analyst	08
17-3026.00	Quality Assurance Automation Engineer (QA Automation Engineer)	QA Automation Engineer	01
17-3026.00	Quality Assurance Technician	n/a	08
17-3026.00	Quality Control Analyst	n/a	08
17-3026.00	Quality Control Engineering Technician (QC Engineering Technician)	QC Engineering Technician	02
17-3026.00	Quality Control Expert	n/a	08
17-3026.00	Quality Control Representative (QC Representative)	QC Representative	08
17-3026.00	Quality Control Specialist	n/a	08
17-3026.00	Quality Control Technician	n/a	08
17-3026.00	Quality Controller	n/a	08
17-3026.00	Quality Engineer	n/a	08
17-3026.00	Quality Management Coordinator	n/a	02
17-3026.00	Quality Methods Specialist	n/a	08
17-3026.00	Quality Specialist	n/a	08
17-3026.00	Quality Technician	n/a	02
17-3026.00	Real Time Analyst	n/a	08
17-3026.00	Reliability Engineer	n/a	08
17-3026.00	Scheduler	n/a	08
17-3026.00	Scientist	n/a	08
17-3026.00	Semiconductor Manufacturing Technician	n/a	08
17-3026.00	Semiconductor Processing Equipment Production Technician	n/a	08
17-3026.00	Service Technician	n/a	02
17-3026.00	Soda Tester	n/a	08
17-3026.00	Solar Hot Water Heater Manufacturing Technician	n/a	08
17-3026.00	Support Technician	n/a	08
17-3026.00	Test Technician	n/a	08
17-3026.00	Time Motion Analyst	n/a	08
17-3026.00	Time Study Analyst	n/a	08
17-3026.00	Time Study Observer	n/a	08
17-3026.00	Time Study Technician	n/a	04,08
17-3026.00	Time Study Technologist	n/a	04,08
17-3026.00	Tool Planner	n/a	08
17-3026.00	Traffic Rate Analyst	n/a	08
17-3026.00	Woolen Tester	n/a	08
17-3026.00	Yarn Tester	n/a	08
17-3026.01	Cleanroom Operator	n/a	08
17-3026.01	Cleanroom Technician	n/a	08
17-3026.01	Engineering Technician	n/a	02
17-3026.01	Laboratory Manager (Lab Manager)	Lab Manager	08
17-3026.01	Laboratory Technician (Lab Technician)	Lab Technician	02
17-3026.01	Nanofabrication Specialist	n/a	02
17-3026.01	Nanoscience Technician	n/a	08
17-3026.01	Nanotechnician	n/a	08
17-3026.01	Nanotechnologist	n/a	08
17-3026.01	Nanotechnology Engineering Technician	n/a	08
17-3026.01	Nanotechnology Technician	n/a	08
17-3026.01	Process Engineering Technician	n/a	02
17-3026.01	Research Associate	n/a	02
17-3026.01	Research Scientist	n/a	02
17-3026.01	Research Specialist	n/a	02
17-3026.01	Research Staff Member	n/a	08
17-3026.01	Research Support Specialist	n/a	08
17-3026.01	Research Technician	n/a	02
17-3026.01	Scientific Research Associate	n/a	02
17-3026.01	Technical Associate	n/a	08
17-3026.01	Technical Research Scientist	n/a	02
17-3027.00	Apparatus Engineering Technologist	n/a	08
17-3027.00	Automation Design Checker	n/a	08
17-3027.00	Brinell Tester	n/a	08
17-3027.00	Certified Control Systems Technician (CCST)	CCST	08
17-3027.00	Computer-Aided Design Designer	n/a	08
17-3027.00	Development Technician	n/a	08
17-3027.00	Engineering Aide	n/a	08
17-3027.00	Engineering Analyst	n/a	08
17-3027.00	Engineering Data Analyst	n/a	10
17-3027.00	Engineering Drawings Checker	n/a	08
17-3027.00	Engineering Laboratory Technician (Engineering Lab Technician)	Engineering Lab Technician	02
17-3027.00	Engineering Technical Analyst	n/a	02
17-3027.00	Engineering Technician (Engineering Tech)	Engineering Tech	02,08
17-3027.00	Engineering Technologist	n/a	02
17-3027.00	Experimental Technician	n/a	08
17-3027.00	Gyroscope Technician	n/a	08
17-3027.00	Gyroscopic Engineering Technician	n/a	04,08
17-3027.00	Heat Transfer Technician	n/a	04,08
17-3027.00	Hydraulic Technician	n/a	04,08
17-3027.00	Laser Technician	n/a	08
17-3027.00	Manufacturing Engineering Technician (Manufacturing Engineering Tech)	Manufacturing Engineering Tech	02,08
17-3027.00	Mechanical Assembly Technician (Mechanical Assembly Tech)	Mechanical Assembly Tech	10
17-3027.00	Mechanical Designer	n/a	02
17-3027.00	Mechanical Engineering Technician (Mechanical Engineering Tech)	Mechanical Engineering Tech	02,04,08
17-3027.00	Mechanical Engineering Technologist	n/a	04,08
17-3027.00	Mechanical Inspector	n/a	08
17-3027.00	Mechanical Repair Technician (Mechanical Repair Tech)	Mechanical Repair Tech	10
17-3027.00	Mechanical Service Specialist	n/a	08
17-3027.00	Mechanical Service Technician (Mechanical Service Tech)	Mechanical Service Tech	10
17-3027.00	Mechanical Technician (Mechanical Tech)	Mechanical Tech	02,10
17-3027.00	Mechanical Technologist	n/a	08
17-3027.00	Mechanical Test Technician (Mechanical Test Tech)	Mechanical Test Tech	10
17-3027.00	Motor Tester	n/a	08
17-3027.00	Operations Analyst	n/a	08
17-3027.00	Optomechanical Technician	n/a	04,08
17-3027.00	Process Analyst	n/a	08
17-3027.00	Process Engineering Technician (Process Engineering Tech)	Process Engineering Tech	02
17-3027.00	Process Technician	n/a	02
17-3027.00	Proof Technician	n/a	08
17-3027.00	Research and Development Technician (R and D Tech)	R and D Tech	02
17-3027.00	Systems Analyst	n/a	08
17-3027.00	Systems Engineering Analyst	n/a	10
17-3027.00	Technical Analyst	n/a	08
17-3027.00	Test Engineering Analyst	n/a	08
17-3027.00	Tool Analyst	n/a	08
17-3027.00	Tool Design Checker	n/a	08
17-3027.00	Tooling Engineering Technician	n/a	08
17-3027.01	Automotive Design Checker (Auto Design Checker)	Auto Design Checker	08
17-3027.01	Automotive Engineering Technician	n/a	08
17-3027.01	Automotive Technician (Auto Technician)	Auto Technician	10
17-3027.01	Automotive Test Technician (Auto Test Technician)	Auto Test Technician	10
17-3027.01	Durability Technician	n/a	10
17-3027.01	Laboratory Technician (Lab Technician)	Lab Technician	02
17-3027.01	Performance Technician	n/a	10
17-3027.01	Research Technician	n/a	02
17-3027.01	Transportation Engineering Technician	n/a	07
17-3028.00	Calibration Technician	n/a	04,08
17-3028.00	Calibration Technologist	n/a	04,08
17-3028.00	Certified Calibration Technician	n/a	08
17-3028.00	Electromechanical Equipment Tester	n/a	08
17-3028.00	Electronic Instrument Testing Technician	n/a	08
17-3028.00	Electronics Technician	n/a	08
17-3028.00	Equipment Technician	n/a	08
17-3028.00	Field Service Technician	n/a	08
17-3028.00	Hydrometer Calibrator	n/a	04
17-3028.00	Instrument Technician	n/a	08
17-3028.00	Instrumentation Technician	n/a	08
17-3028.00	Maintenance Technician	n/a	08
17-3028.00	Test Technician	n/a	08
17-3029.00	Agricultural Engineering Technician	n/a	04,06,08
17-3029.00	Agricultural Engineering Technicians	n/a	04
17-3029.00	Agricultural Engineering Technologist	n/a	04
17-3029.00	Air Analyst	n/a	06
17-3029.00	Air Tester	n/a	04,06
17-3029.00	Biomedical Engineering Aide	n/a	04,06
17-3029.00	Biomedical Engineering Technician	n/a	04
17-3029.00	Biomedical Engineering Technologist	n/a	04
17-3029.00	Blueprint Engineer	n/a	04
17-3029.00	Chemical Engineering Technician	n/a	04,06
17-3029.00	Chemical Engineering Technologist	n/a	04
17-3029.00	Drawing Checker	n/a	04
17-3029.00	Drawing Tracer	n/a	04
17-3029.00	Echometer Engineer	n/a	04,06
17-3029.00	Engineering Aide	n/a	04,06
17-3029.00	Engineering Assistant	n/a	04,06
17-3029.00	Engineering Technician	n/a	04,06
17-3029.00	Film Color Tester	n/a	04,06
17-3029.00	Fire Protection Engineering Technician	n/a	04,06
17-3029.00	Form Designer	n/a	04
17-3029.00	Foundry Technician	n/a	04,06
17-3029.00	Gun Tester	n/a	04,06
17-3029.00	Hardness Tester	n/a	04,06
17-3029.00	Heating Technician	n/a	04,06
17-3029.00	Industrial X-Ray Operator	n/a	04,06
17-3029.00	Job Captain	n/a	04
17-3029.00	Laboratory Assistant	n/a	06
17-3029.00	Laboratory Supervisor	n/a	04,06
17-3029.00	Laboratory Technician	n/a	04
17-3029.00	Laboratory Worker	n/a	06
17-3029.00	Laser Specialist	n/a	04,06
17-3029.00	Marine Engineering Technician	n/a	04
17-3029.00	Marine Engineering Technicians	n/a	04
17-3029.00	Marine Engineering Technologist	n/a	04
17-3029.00	Marine Surveyor	n/a	04,06
17-3029.00	Material Stress Tester	n/a	04,06
17-3029.00	Materials Engineering Technician	n/a	04
17-3029.00	Materials Engineering Technologist	n/a	04
17-3029.00	Metal Tester	n/a	06
17-3029.00	Metallurgical Engineering Technician	n/a	04
17-3029.00	Metallurgical Engineering Technologist	n/a	04
17-3029.00	Metallurgical Inspector	n/a	04,06
17-3029.00	Metallurgical Laboratory Assistant	n/a	08
17-3029.00	Metallurgical Technician	n/a	04,06,08
17-3029.00	Metallurgical Tester	n/a	04,06
17-3029.00	Metallurgist Helper	n/a	04,06
17-3029.00	Nondestructive Tester	n/a	08
17-3029.00	Nuclear Engineering Technician	n/a	04,06
17-3029.00	Nuclear Engineering Technologist	n/a	04
17-3029.00	Optical Engineering Technician	n/a	04
17-3029.00	Optical Engineering Technologist	n/a	04
17-3029.00	Ordnance Engineering Technician	n/a	04
17-3029.00	Ordnance Engineering Technologist	n/a	04
17-3029.00	Radar Technician	n/a	04
17-3029.00	Remotely Piloted Vehicle Controller (RPV Controller)	RPV Controller	08
17-3029.00	Research Assistant	n/a	06
17-3029.00	Salvage Engineering Technician	n/a	04
17-3029.00	Salvage Engineering Technologist	n/a	04
17-3029.00	Sand Technician	n/a	04,06
17-3029.00	Scanner	n/a	04,06
17-3029.00	Scleroscope Tester	n/a	04,06
17-3029.00	Sheet Tester	n/a	04,06
17-3029.00	Sonar Technician	n/a	04
17-3029.00	Spectrograph Operator	n/a	04,06
17-3029.00	Spectrographer	n/a	04,06
17-3029.00	Spectroscopist	n/a	04,06,08
17-3029.00	Steel Analyst	n/a	04,06
17-3029.00	Steel Tester	n/a	04,06
17-3029.00	Stress Analyst	n/a	04,06
17-3029.00	Sulphate Tester	n/a	04,06
17-3029.00	Tape Duplicator	n/a	04,06
17-3029.00	Tape Transferrer	n/a	04,06
17-3029.00	Technician	n/a	04
17-3029.00	Tensile Tester	n/a	04,06
17-3029.00	Test Technician	n/a	08
17-3029.00	Tester	n/a	08
17-3029.00	Welding Technician	n/a	04,06,08
17-3029.00	X Ray Operator	n/a	04,06
17-3029.00	X Ray Technician	n/a	04,06
17-3029.01	Corrosion Control Technician (Corrosion Control Tech)	Corrosion Control Tech	10
17-3029.01	Corrosion Technician (Corrosion Tech)	Corrosion Tech	10
17-3029.01	Industrial Radiographer	n/a	02,08
17-3029.01	NDE Specialist (Non-Destructive Evaluation Specialist)	NDE Specialist	08
17-3029.01	NDE Technician (Non-Destructive Evaluation Technician)	NDE Technician	02,08
17-3029.01	NDT Coordinator (Non-Destructive Testing Coordinator)	NDT Coordinator	02
17-3029.01	NDT Engineer (Non-Destructive Testing Engineer)	NDT Engineer	08,10
17-3029.01	NDT Inspector (Non-Destructing Testing Inspector)	NDT Inspector	02
17-3029.01	NDT Inspector (Non-Destructive Testing Inspector)	NDT Inspector	08,10
17-3029.01	NDT Scientist (Non-Destructive Testing Scientist)	NDT Scientist	08
17-3029.01	NDT Specialist (Non-Destructive Testing Specialist)	NDT Specialist	02,08
17-3029.01	NDT Technical Advisor (Non-Destructive Testing Technical Advisor)	NDT Technical Advisor	10
17-3029.01	NDT Technical Specialist (Non-Destructive Testing Technical Specialist)	NDT Technical Specialist	02
17-3029.01	NDT Technician (Non-Destructive Testing Technician)	NDT Technician	02,08,10
17-3029.01	Non-Destructive Technician (Non-Destructive Tech)	Non-Destructive Tech	10
17-3029.01	Non-Destructive Tester	n/a	08,10
17-3029.01	Penetrant Inspector	n/a	10
17-3029.01	Predictive Maintenance Specialist	n/a	08
17-3029.01	Predictive Maintenance Technician (Predictive Maintenance Tech)	Predictive Maintenance Tech	08
17-3029.01	Test Technician (Test Tech)	Test Tech	10
17-3029.01	Vibration Technician (Vibration Tech)	Vibration Tech	10
17-3029.08	Certified Laser Technician (Certified Laser Tech)	Certified Laser Tech	10
17-3029.08	Electro-Optics Technician (Electro-Optics Tech)	Electro-Optics Tech	08
17-3029.08	Fiber Optics Assembler	n/a	10
17-3029.08	Fiber Optics Cabling Specialist	n/a	10
17-3029.08	Fiber Optics Design Technician (Fiber Optics Design Tech)	Fiber Optics Design Tech	10
17-3029.08	Fiber Optics Instructor	n/a	02
17-3029.08	Fiber Optics Specialist	n/a	10
17-3029.08	Fiber Optics Technician (Fiber Optics Tech)	Fiber Optics Tech	02,08
17-3029.08	Healthcare Laser Technician (Healthcare Laser Tech)	Healthcare Laser Tech	10
17-3029.08	Laser Assembly Technician (Laser Assembly Tech)	Laser Assembly Tech	10
17-3029.08	Laser Scanners Technician (Laser Scanners Tech)	Laser Scanners Tech	10
17-3029.08	Laser Specialist	n/a	08
17-3029.08	Laser Technician (Laser Tech)	Laser Tech	02,08,10
17-3029.08	Medical Laser Technician (Medical Laser Tech)	Medical Laser Tech	10
17-3029.08	Mobile Laser Technician (Mobile Laser Tech)	Mobile Laser Tech	10
17-3029.08	Mobile Technician (Mobile Tech)	Mobile Tech	10
17-3029.08	Optical Engineering Technician (Optical Engineering Tech)	Optical Engineering Tech	08
17-3029.08	Optical Fabrication Technician (Optical Fabrication Tech)	Optical Fabrication Tech	03
17-3029.08	Optical Manufacturing Technician (Optical Manufacturing Tech)	Optical Manufacturing Tech	08
17-3029.08	Optics Manufacturing Technician (Optics Manufacturing Tech)	Optics Manufacturing Tech	03,08
17-3029.08	Optics Technician (Optics Tech)	Optics Tech	02
17-3029.08	Optics Test Technician (Optics Test Tech)	Optics Test Tech	08
17-3029.08	Optoelectronic Technician (Optoelectronic Tech)	Optoelectronic Tech	08
17-3029.08	Optomechanical Technician (Optomechanical Tech)	Optomechanical Tech	02
17-3029.08	Photonics Engineering Technician (Photonics Engineering Tech)	Photonics Engineering Tech	08
17-3029.08	Photonics Engineering Technologist	n/a	08
17-3029.08	Photonics Laboratory Technician (Photonics Lab Tech)	Photonics Lab Tech	02
17-3029.08	Photonics Technician (Photonics Tech)	Photonics Tech	02,08
17-3029.08	Removal Technician (Removal Tech)	Removal Tech	10
17-3029.08	Ruling Technician (Ruling Tech)	Ruling Tech	02
17-3029.08	Strain Technician (Strain Tech)	Strain Tech	10
17-3029.08	Surgical Laser Technician (Surgical Laser Tech)	Surgical Laser Tech	10
17-3029.08	Test Technician (Test Tech)	Test Tech	10
17-3029.08	Thin Film Technician (Thin Film Tech)	Thin Film Tech	08
17-3031.00	Aerial Photograph Interpreter	n/a	08
17-3031.00	Aerotriangulation Specialist	n/a	02
17-3031.00	Assessment Technician	n/a	08
17-3031.00	Ax Survey Worker	n/a	08
17-3031.00	CAD Technician (Computer Aided Design Technician)	CAD Technician	08
17-3031.00	Cartographic Aide	n/a	04,08
17-3031.00	Cartographic Drafter	n/a	08
17-3031.00	Cartographic Technician	n/a	04,08
17-3031.00	Cartography Technician	n/a	08
17-3031.00	Chain Carrier	n/a	08
17-3031.00	Chainman	n/a	08
17-3031.00	Compass Operator	n/a	08
17-3031.00	Drafting Technician	n/a	08
17-3031.00	Draftsman	n/a	08
17-3031.00	Engineering Assistant	n/a	08
17-3031.00	Field Crew Member	n/a	10
17-3031.00	Field Map Technician	n/a	04,08
17-3031.00	Field Survey Technician	n/a	08
17-3031.00	Geodetic Computator	n/a	08
17-3031.00	Geophysical Prospecting Surveying Technician	n/a	04,08
17-3031.00	Geospatial Analyst	n/a	02
17-3031.00	GIS Coordinator (Geographic Information Systems Coordinator)	GIS Coordinator	10
17-3031.00	GIS Mapping Technician (Geographic Information Systems Mapping Technician)	GIS Mapping Technician	04,08
17-3031.00	GIS Specialist (Geographic Information Systems Specialist)	GIS Specialist	10
17-3031.00	Instrument Man (I-Man)	I-Man	08
17-3031.00	Instrument Operator	n/a	08,10
17-3031.00	Instrument Person	n/a	08
17-3031.00	Instrument Rodman	n/a	08
17-3031.00	Instrumentation Technician	n/a	08
17-3031.00	Land Survey Technician	n/a	08,10
17-3031.00	Land Surveying Survey Worker	n/a	08
17-3031.00	Levelman	n/a	08
17-3031.00	Map Compiler	n/a	08
17-3031.00	Map Drafter	n/a	08
17-3031.00	Map Editor	n/a	08
17-3031.00	Mapping Editor	n/a	02
17-3031.00	Mapping Specialist	n/a	08
17-3031.00	Mapping Technician	n/a	02,04,08
17-3031.00	Mineral Surveying Technician	n/a	04,08
17-3031.00	Mosaicist	n/a	08
17-3031.00	Photogrammetric Compilation Specialist	n/a	02
17-3031.00	Photogrammetric Stereo Compiler	n/a	08
17-3031.00	Photogrammetric Technician	n/a	02,08
17-3031.00	Plane Tableman	n/a	08
17-3031.00	Rodman	n/a	08
17-3031.00	Stake Driver	n/a	08
17-3031.00	Stake Setter	n/a	08
17-3031.00	Staker	n/a	08
17-3031.00	Stereo Compiler	n/a	08
17-3031.00	Stereo Map Plotter Operator	n/a	08
17-3031.00	Stereo Plotter Operator	n/a	08
17-3031.00	Stereoplotter Operator	n/a	02
17-3031.00	Survey CAD Technician (Survey Computer-Aided Design Technician)	Survey CAD Technician	08
17-3031.00	Survey Crew Member	n/a	10
17-3031.00	Survey Field Technician	n/a	08,10
17-3031.00	Survey Instrument Operator	n/a	08,10
17-3031.00	Survey Instrument Person	n/a	08,10
